tid,name
25247,"Digital Futures [returning, admitted prior to 2020]"
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
10453,Minor
3241,Criticism &amp; Curatorial Practice
3313,Industrial Design
3355,"Contemporary Art, Design and New Media Art Histories (CADN) (MA)"
3277,Drawing &amp; Painting
3289,Environmental Design: Interior Design Specialization
3343,Sculpture/Installation
3295,Graphic Design
3271,Integrated Media: Digital Painting and Expanded Animation
3235,Advertising
3259,Digital Futures
3301,Illustration
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3307,Indigenous Visual Culture
3391,Strategic Foresight and Innovation (SFI) (MDes)
3253,Cross-Disciplinary Art: Publications
3337,Printmaking
3349,Visual and Critical Studies
3325,Material Art &amp; Design
3373,"Digital Futures (DF) (MA, MFA, MDes)"
3415,Creative Writing
3379,Inclusive Design (INCD) (MDes)
3385,"Interdisciplinary Master&#039;s in Art, Media and Design (IAMD) (MA, MFA &amp; MDes)"
3283,Environmental Design
3319,Integrated Media
3367,Design for Health (DHEA) (MDes)
3331,Photography
3241,Criticism &amp; Curatorial Practice
3247,Cross-Disciplinary Art: Life Studies
25255,"First-Year Art (General) [returning, admitted prior to 2020]"
25252,"Printmaking [returning, admitted prior to 2020]"
3235,Advertising
3403,Art History
3409,Communication Design
3355,"Contemporary Art, Design and New Media Art Histories (CADN) (MA)"
3427,Digital &amp; Media Studies
3259,Digital Futures
3277,Drawing &amp; Painting
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3289,Environmental Design: Interior Design Specialization
3457,Furniture Design
23868,Games and Play
3295,Graphic Design
3301,Illustration
3307,Indigenous Visual Culture
3271,Integrated Media: Digital Painting and Expanded Animation
3325,Material Art &amp; Design
3337,Printmaking
3343,Sculpture/Installation
3391,Strategic Foresight and Innovation (SFI) (MDes)
3487,Wearable Technology
3235,Advertising
3403,Art History
3409,Communication Design
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3259,Digital Futures
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3289,Environmental Design: Interior Design Specialization
3457,Furniture Design
3295,Graphic Design
3301,Illustration
3307,Indigenous Visual Culture
3271,Integrated Media: Digital Painting and Expanded Animation
3325,Material Art &amp; Design
3337,Printmaking
3343,Sculpture/Installation
3475,Social Sciences
3391,Strategic Foresight and Innovation (SFI) (MDes)
3349,Visual and Critical Studies
3487,Wearable Technology
3235,Advertising
3403,Art History
3415,Creative Writing
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3259,Digital Futures
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3457,Furniture Design
3295,Graphic Design
3301,Illustration
3307,Indigenous Visual Culture
3271,Integrated Media: Digital Painting and Expanded Animation
3325,Material Art &amp; Design
3337,Printmaking
3475,Social Sciences
3391,Strategic Foresight and Innovation (SFI) (MDes)
3349,Visual and Critical Studies
3487,Wearable Technology
3235,Advertising
3403,Art History
3415,Creative Writing
3361,Criticism and Curatorial Practice (CRCP) (MFA)
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3259,Digital Futures
3421,Digital Media
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3457,Furniture Design
3301,Illustration
3307,Indigenous Visual Culture
3319,Integrated Media
3271,Integrated Media: Digital Painting and Expanded Animation
3325,Material Art &amp; Design
3337,Printmaking
3475,Social Sciences
3391,Strategic Foresight and Innovation (SFI) (MDes)
3349,Visual and Critical Studies
3235,Advertising
3415,Creative Writing
3361,Criticism and Curatorial Practice (CRCP) (MFA)
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3259,Digital Futures
3421,Digital Media
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3445,Expanded Animation
3451,First-Year Art (General)
3457,Furniture Design
23869,Gender and Sexuality Studies
3301,Illustration
3379,Inclusive Design (INCD) (MDes)
3307,Indigenous Visual Culture
3319,Integrated Media
3325,Material Art &amp; Design
3469,On-Screen Media
3331,Photography
3337,Printmaking
3475,Social Sciences
3391,Strategic Foresight and Innovation (SFI) (MDes)
3349,Visual and Critical Studies
3415,Creative Writing
3361,Criticism and Curatorial Practice (CRCP) (MFA)
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3421,Digital Media
3265,Drawing &amp; Painting: Digital Painting and Expanded Animation
3283,Environmental Design
3445,Expanded Animation
3451,First-Year Art (General)
3457,Furniture Design
23869,Gender and Sexuality Studies
3379,Inclusive Design (INCD) (MDes)
3307,Indigenous Visual Culture
3319,Integrated Media
3325,Material Art &amp; Design
3469,On-Screen Media
3331,Photography
3337,Printmaking
3475,Social Sciences
3391,Strategic Foresight and Innovation (SFI) (MDes)
3349,Visual and Critical Studies
3415,Creative Writing
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3421,Digital Media
3277,Drawing &amp; Painting
3283,Environmental Design
3445,Expanded Animation
3451,First-Year Art (General)
23869,Gender and Sexuality Studies
3379,Inclusive Design (INCD) (MDes)
3319,Integrated Media
3385,"Interdisciplinary Master&#039;s in Art, Media and Design (IAMD) (MA, MFA &amp; MDes)"
3325,Material Art &amp; Design
3469,On-Screen Media
3331,Photography
3337,Printmaking
3475,Social Sciences
3349,Visual and Critical Studies
3415,Creative Writing
3253,Cross-Disciplinary Art: Publications
3427,Digital &amp; Media Studies
3373,"Digital Futures (DF) (MA, MFA, MDes)"
3421,Digital Media
3277,Drawing &amp; Painting
3283,Environmental Design
3445,Expanded Animation
3451,First-Year Art (General)
3379,Inclusive Design (INCD) (MDes)
